language	number	surprisal
Angami	29	0.9564560182089237
Angami	30	1.9996308871498352
Angami	31	0.9850326697165145
Angami	32	0.9003032475877764
Angami	33	0.9537537939467555
Angami	34	0.9457247645616361
Angami	35	0.8470608461864113
Angami	36	0.8176420277684604
Angami	37	0.6939206125163749
Angami	38	0.8060265760219575
Angami	39	0.864329491684281
Angami	40	1.5530337891890094
Angami	41	0.8503621996570914
Angami	42	0.8214865211487663
Angami	43	0.8483773502827535
Angami	44	0.8527697247570654
Angami	45	0.7619617022341747
Angami	46	0.7445376155485688
Angami	47	0.6315530491945937
Angami	48	0.724236541758885
Angami	49	0.7570680119802273
Angami	50	0.5258350327465132
Angami	51	0.7042093510515193
Angami	52	0.7207774556236296
Angami	53	0.7147347139567021
Angami	54	0.7403981254646619
Angami	55	0.6463531730220168
Angami	56	0.6448210322311226
Angami	57	0.5605545700920853
Angami	58	0.6338745405012264
Angami	59	0.6477531689565686
Angami	60	1.2170340651245286
Angami	61	0.7245068701246873
Angami	62	0.7356623029439529
Angami	63	0.7333407731071061
Angami	64	0.7563461761650083
Angami	65	0.6690688076179738
Angami	66	0.6539325084775209
Angami	67	0.5745091144548884
Angami	68	0.6487593878215496
Angami	69	0.6649279927877108
Angami	70	0.45497607381237415
Angami	71	0.6883424133277091
Angami	72	0.7013402105592866
Angami	73	0.6992786666035555
Angami	74	0.7226723906735649
Angami	75	0.6420305633996151
Angami	76	0.6360867033067675
Angami	77	0.5645838928604519
Angami	78	0.6233672128671908
Angami	79	0.6364196500824314
Angami	80	0.5656517160865221
Angami	81	1.0076720870824258
Angami	82	1.0417248066323939
Angami	83	0.9929088886516997
Angami	84	1.0842702872597665
Angami	85	0.9086701450437527
Angami	86	0.883256039112549
Angami	87	0.6587763715858208
Angami	88	0.7436638210268399
Angami	89	0.768865707563397
Angami	90	0.5716684018693954
Angami	91	1.1105784806904169
Angami	92	1.1182065744456136
Angami	93	1.0825720032127464
Angami	94	1.1742164491619833
Angami	95	0.9748659321705322
Angami	96	0.9396998263235629
Angami	97	0.6768872600465802
Angami	98	0.768865707563397
Angami	99	0.815825101650972
Ao_1	1	2.6351197535887274
Ao_1	2	1.945884783043232
Ao_1	3	1.9250325809783502
Ao_1	4	1.5219645131997208
Ao_1	5	1.7432458755404803
Ao_1	6	1.2557728168768647
Ao_1	7	1.6119985768183855
Ao_1	8	1.5176911199980347
Ao_1	9	1.2371667577264607
Ao_1	10	1.1571067803879764
Ao_1	11	0.7515591466712066
Ao_1	12	0.7812260642203708
Ao_1	13	0.7696415075176587
Ao_1	14	2.125441088953207
Ao_1	15	0.6686488933855089
Ao_1	16	0.6960147829269265
Ao_1	17	0.8266267422347611
Ao_1	18	0.687034426000027
Ao_1	19	0.6848511474366842
Ao_1	20	1.336827547504409
Ao_1	21	0.6671242968136292
Ao_1	22	0.6964107224636337
Ao_1	23	0.6877223049365996
Ao_1	24	0.5968686025804438
Ao_1	25	0.6119778443374874
Ao_1	26	0.6373878400653488
Ao_1	27	0.7378585779944521
Ao_1	28	0.6201972272345895
Ao_1	29	0.6288004281497775
Ao_1	30	1.0927464051278488
Ao_1	31	0.883513102595915
Ao_1	32	0.8857158943459463
Ao_1	33	0.8688167364130994
Ao_1	34	0.7508656461310572
Ao_1	35	0.7843964405945709
Ao_1	36	0.7920064474324069
Ao_1	37	0.9277647429401082
Ao_1	38	0.8053553889430475
Ao_1	39	0.7818576878958229
Ao_1	40	0.941499978758765
Ao_1	41	0.7826821516831924
Ao_1	42	0.7949680385244964
Ao_1	43	0.7845419374920553
Ao_1	44	0.6683675953842844
Ao_1	45	0.6936485847731205
Ao_1	46	0.7095083966856339
Ao_1	47	0.8452666921933356
Ao_1	48	0.7045244380303248
Ao_1	49	0.6993596371490498
Ao_1	50	0.7853494755422005
Ao_1	51	0.7685577503697402
Ao_1	52	0.7828095261574235
Ao_1	53	0.7747894484401612
Ao_1	54	0.6888298266451952
Ao_1	55	0.7098507593489853
Ao_1	56	0.7264548328811783
Ao_1	57	0.8181842077834519
Ao_1	58	0.7255412699222873
Ao_1	59	0.7184808075310052
Ao_1	60	0.941499978758765
Ao_1	61	0.7826821516831924
Ao_1	62	0.7949680385244964
Ao_1	63	0.7845419374920553
Ao_1	64	0.6683675953842844
Ao_1	65	0.6936485847731205
Ao_1	66	0.7095083966856339
